fold,validation_start,validation_end,candidate,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,risk_state_counts
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,SOFT_RISK_075_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,122,43,34,9,0,7,2,0,0,0,494.37,-1.13,11.36,1.1087,41.18,6,18,8,21.8795,0.004485,34,54.15785926,48.84920979,5.30864947,1.1086742137872363,"{""adverse"": 81, ""neutral"": 127, ""supportive"": 10}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,SOFT_RISK_075_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,161,106,60,46,0,29,4,0,13,0,454.39,-9.12,16.7,0.73,31.67,14,28,9,35.1231,0.004583,60,75.85880761,103.91214746,-28.05333985,0.7300282927577195,"{""adverse"": 85, ""neutral"": 120, ""supportive"": 6}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,SOFT_RISK_075_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,175,37,15,22,0,19,1,0,2,0,465.75,-6.85,10.09,0.1332,6.67,13,11,1,6.5093,0.004833,15,4.76286981,35.76047392,-30.99760411,0.13318810657505256,"{""adverse"": 70, ""neutral"": 160, ""supportive"": 8}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,SOFT_RISK_075_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,224,31,25,6,0,5,1,0,0,0,499.49,-0.1,7.22,1.1299,40.0,5,15,9,10.4979,0.0044,25,41.2554538,36.5138774,4.7415764,1.1298568308950723,"{""adverse"": 100, ""neutral"": 223, ""supportive"": 15}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,SOFT_RISK_075_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,86,45,38,7,0,3,0,0,4,0,468.92,-6.22,13.13,0.658,28.95,10,17,4,17.0599,0.004441,38,43.38442622,65.93287123,-22.548445,0.6580090540075683,"{""adverse"": 79, ""neutral"": 100, ""supportive"": 6}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,SOFT_RISK_050_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,121,13,13,0,0,0,0,0,0,0,484.18,-3.16,5.31,0.4133,15.38,9,9,2,2.8312,0.004423,13,10.14892495,24.55515916,-14.40623421,0.41331130796060866,"{""adverse"": 85, ""neutral"": 97, ""supportive"": 11}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,SOFT_RISK_050_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,281,29,26,3,0,3,0,0,0,0,482.66,-3.47,10.31,0.7464,30.77,6,17,5,13.2557,0.004423,26,31.53016686,42.24333597,-10.7131691,0.7463938664073908,"{""adverse"": 144, ""neutral"": 193, ""supportive"": 15}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,SOFT_RISK_050_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,163,49,36,13,0,12,1,0,0,0,465.06,-6.99,13.03,0.5929,22.22,16,19,8,16.8506,0.004444,36,38.61733413,65.13367778,-26.51634365,0.5928934990667943,"{""adverse"": 100, ""neutral"": 195, ""supportive"": 17}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,SOFT_RISK_050_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,288,34,28,6,0,5,1,0,0,0,490.19,-1.96,9.96,0.9154,32.14,5,17,8,12.4609,0.004196,28,38.78174978,42.36484003,-3.58309025,0.91542301943094,"{""adverse"": 131, ""neutral"": 211, ""supportive"": 12}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,SOFT_RISK_050_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,191,92,54,38,0,37,1,0,0,0,441.59,-11.68,19.05,0.5331,25.93,8,20,4,30.9758,0.00412,54,48.99886175,91.91604042,-42.91717867,0.5330828169448552,"{""adverse"": 116, ""neutral"": 160, ""supportive"": 16}"
