fold,validation_start,validation_end,candidate,learning,plans,generated_trades,reason_counts
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_12H,soft,314,314,"{""60m_trend_filter"": 617, ""below_15m_ema200"": 20554, ""center_ban"": 146988, ""cooldown"": 89, ""insufficient_future_bars"": 1536, ""minimum_rr"": 12, ""no_lower_boundary_touch"": 52258, ""plan_created"": 314, ""range_too_narrow"": 20697, ""volume_filter"": 1255}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_16H,soft,310,310,"{""60m_trend_filter"": 610, ""below_15m_ema200"": 20508, ""center_ban"": 146722, ""cooldown"": 87, ""insufficient_future_bars"": 2048, ""minimum_rr"": 16, ""no_lower_boundary_touch"": 52086, ""plan_created"": 310, ""range_too_narrow"": 20681, ""volume_filter"": 1252}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_EXIT_SOFT_STRUCT_24H_CONTROL,soft,218,218,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 21780, ""center_ban"": 148773, ""cooldown"": 69, ""insufficient_future_bars"": 3072, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 54953, ""plan_created"": 218, ""range_too_narrow"": 13370, ""volume_filter"": 966}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_EXIT_SOFT_STRUCT_8H,soft,218,218,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 22078, ""center_ban"": 149477, ""cooldown"": 69, ""insufficient_future_bars"": 1024, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 55979, ""plan_created"": 218, ""range_too_narrow"": 13390, ""volume_filter"": 966}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_EXIT_SOFT_STRUCT_12H,soft,218,218,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 22078, ""center_ban"": 149101, ""cooldown"": 69, ""insufficient_future_bars"": 1536, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 55863, ""plan_created"": 218, ""range_too_narrow"": 13370, ""volume_filter"": 966}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_EXIT_SOFT_STRUCT_16H,soft,218,218,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 22073, ""center_ban"": 148913, ""cooldown"": 69, ""insufficient_future_bars"": 2048, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 55544, ""plan_created"": 218, ""range_too_narrow"": 13370, ""volume_filter"": 966}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_EXIT_SOFT_FIXED_RR10_8H,soft,254,254,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 22078, ""center_ban"": 149477, ""cooldown"": 70, ""insufficient_future_bars"": 1024, ""no_lower_boundary_touch"": 55979, ""plan_created"": 254, ""range_too_narrow"": 13390, ""volume_filter"": 966}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_EXIT_SOFT_FIXED_RR12_12H,soft,254,254,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 22078, ""center_ban"": 149101, ""cooldown"": 70, ""insufficient_future_bars"": 1536, ""no_lower_boundary_touch"": 55863, ""plan_created"": 254, ""range_too_narrow"": 13370, ""volume_filter"": 966}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_12H,soft,240,240,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 22078, ""center_ban"": 149101, ""cooldown"": 70, ""insufficient_future_bars"": 1536, ""minimum_rr"": 14, ""no_lower_boundary_touch"": 55863, ""plan_created"": 240, ""range_too_narrow"": 13370, ""volume_filter"": 966}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_16H,soft,235,235,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 22073, ""center_ban"": 148913, ""cooldown"": 69, ""insufficient_future_bars"": 2048, ""minimum_rr"": 20, ""no_lower_boundary_touch"": 55544, ""plan_created"": 235, ""range_too_narrow"": 13370, ""volume_filter"": 966}"
