setup,lev,trades,skipped,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_positive,symbols_traded,avg_selected,windows
ROLL_L30_R7_T20,25,1331,8106,1302.94,160.59,19.54,1.244,56.2,6,26,38,20.0,70
ROLL_L30_R7_T20,20,1331,8106,1302.94,160.59,20.39,1.244,56.2,6,26,38,20.0,70
ROLL_L30_R7_T20,15,1331,8106,1302.94,160.59,21.78,1.244,56.2,6,26,38,20.0,70
ROLL_L30_R7_T20,10,1331,8106,1302.94,160.59,24.41,1.244,56.2,6,26,38,20.0,70
ROLL_L60_R14_T20,25,1231,6762,1018.93,103.79,36.66,1.196,54.75,5,22,39,20.0,33
ROLL_L60_R14_T20,20,1231,6762,1018.93,103.79,36.99,1.196,54.75,5,22,39,20.0,33
ROLL_L60_R14_T20,15,1231,6762,1018.93,103.79,37.54,1.196,54.75,5,22,39,20.0,33
ROLL_L60_R14_T20,10,1231,6762,1018.93,103.79,39.41,1.196,54.75,5,22,39,20.0,33
ROLL_L60_R7_T20,25,1236,6931,876.42,75.28,44.89,1.171,54.45,5,21,39,20.0,65
ROLL_L60_R7_T20,20,1236,6931,876.42,75.28,45.19,1.171,54.45,5,21,39,20.0,65
ROLL_L60_R7_T20,15,1236,6931,876.42,75.28,45.67,1.171,54.45,5,21,39,20.0,65
ROLL_L60_R7_T20,10,1236,6931,876.42,75.28,47.32,1.171,54.45,5,21,39,20.0,65
ROLL_L90_R7_T5,25,847,1129,785.58,57.12,48.09,1.176,53.01,6,16,30,5.0,61
ROLL_L90_R7_T5,20,847,1129,785.58,57.12,48.94,1.176,53.01,6,16,30,5.0,61
ROLL_L90_R7_T5,15,847,1129,785.58,57.12,50.28,1.176,53.01,6,16,30,5.0,61
ROLL_L90_R7_T5,10,847,1129,785.58,57.12,52.76,1.176,53.01,6,16,30,5.0,61
ROLL_L90_R7_T12,25,989,3470,748.63,49.73,39.41,1.156,52.38,8,18,38,12.0,61
ROLL_L90_R7_T12,20,989,3470,748.63,49.73,39.98,1.156,52.38,8,18,38,12.0,61
ROLL_L90_R7_T12,15,989,3470,748.63,49.73,41.09,1.156,52.38,8,18,38,12.0,61
ROLL_L90_R7_T12,10,989,3470,748.63,49.73,43.57,1.156,52.38,8,18,38,12.0,61
ROLL_L60_R30_T12,25,1106,3822,684.09,36.82,52.1,1.139,52.35,9,18,33,12.0,16
ROLL_L60_R30_T12,20,1106,3822,684.09,36.82,52.35,1.139,52.35,9,18,33,12.0,16
ROLL_L60_R30_T12,15,1106,3822,684.09,36.82,52.77,1.139,52.35,9,18,33,12.0,16
ROLL_L60_R30_T12,10,1106,3822,684.09,36.82,53.59,1.139,52.35,9,18,33,12.0,16
ROLL_L60_R30_T8,25,971,2416,590.32,18.06,51.83,1.118,50.98,6,19,32,8.0,16
ROLL_L60_R30_T8,20,971,2416,590.32,18.06,52.35,1.118,50.98,6,19,32,8.0,16
ROLL_L60_R30_T8,15,971,2416,590.32,18.06,53.2,1.118,50.98,6,19,32,8.0,16
ROLL_L60_R30_T8,10,971,2416,590.32,18.06,54.81,1.118,50.98,6,19,32,8.0,16
ROLL_L60_R30_T5,25,919,1261,517.94,3.59,51.0,1.108,51.58,6,16,29,5.0,16
ROLL_L60_R30_T5,20,919,1261,517.94,3.59,51.72,1.108,51.58,6,16,29,5.0,16
ROLL_L60_R30_T5,15,919,1261,517.94,3.59,52.88,1.108,51.58,6,16,29,5.0,16
ROLL_L60_R30_T5,10,919,1261,517.94,3.59,55.03,1.108,51.58,6,16,29,5.0,16
ROLL_L90_R14_T5,25,842,1102,375.82,-24.84,63.62,1.065,51.07,6,14,29,5.0,31
ROLL_L90_R14_T5,20,842,1102,375.82,-24.84,64.21,1.065,51.07,6,14,29,5.0,31
ROLL_L90_R14_T5,15,842,1102,375.82,-24.84,65.17,1.065,51.07,6,14,29,5.0,31
ROLL_L90_R14_T5,10,842,1102,375.82,-24.84,66.93,1.065,51.07,6,14,29,5.0,31
ROLL_L90_R14_T12,25,976,3364,325.38,-34.92,50.81,1.059,50.61,6,18,36,12.0,31
ROLL_L90_R14_T12,20,976,3364,325.38,-34.92,51.35,1.059,50.61,6,18,36,12.0,31
ROLL_L90_R14_T12,15,976,3364,325.38,-34.92,52.78,1.059,50.61,6,18,36,12.0,31
ROLL_L90_R14_T12,10,976,3364,325.38,-34.92,55.4,1.059,50.61,6,18,36,12.0,31
ROLL_L90_R7_T20,25,1084,5822,276.69,-44.66,54.37,1.048,51.75,7,23,38,20.0,61
ROLL_L90_R7_T20,20,1084,5822,276.69,-44.66,55.22,1.048,51.75,7,23,38,20.0,61
ROLL_L90_R7_T20,15,1084,5822,276.69,-44.66,56.57,1.048,51.75,7,23,38,20.0,61
ROLL_L90_R7_T20,10,1084,5822,276.69,-44.66,59.04,1.048,51.75,7,23,38,20.0,61
ROLL_L90_R7_T8,25,879,2203,255.37,-48.93,68.95,1.037,49.37,6,17,34,8.0,61
ROLL_L90_R7_T8,20,879,2203,255.37,-48.93,69.44,1.037,49.37,6,17,34,8.0,61
ROLL_L90_R7_T8,15,879,2203,255.37,-48.93,70.23,1.037,49.37,6,17,34,8.0,61
ROLL_L90_R7_T8,10,879,2203,255.37,-48.93,71.7,1.037,49.37,6,17,34,8.0,61
ROLL_L90_R14_T20,25,1057,5718,222.48,-55.5,61.18,1.027,51.09,11,23,38,20.0,31
ROLL_L90_R14_T20,20,1057,5718,222.48,-55.5,61.9,1.027,51.09,11,23,38,20.0,31
ROLL_L90_R14_T20,15,1057,5718,222.48,-55.5,63.06,1.027,51.09,11,23,38,20.0,31
ROLL_L90_R14_T20,10,1057,5718,222.48,-55.5,65.16,1.027,51.09,11,23,38,20.0,31
ROLL_L60_R30_T20,25,1205,6219,204.97,-59.01,73.76,1.041,51.12,7,17,38,20.0,16
ROLL_L60_R30_T20,20,1205,6219,204.97,-59.01,73.99,1.041,51.12,7,17,38,20.0,16
ROLL_L60_R30_T20,15,1205,6219,204.97,-59.01,74.35,1.041,51.12,7,17,38,20.0,16
ROLL_L60_R30_T20,10,1205,6219,204.97,-59.01,75.05,1.041,51.12,7,17,38,20.0,16
ROLL_L90_R14_T8,25,870,2108,187.22,-62.56,77.05,1.018,48.51,6,16,34,8.0,31
ROLL_L90_R14_T8,20,870,2108,187.22,-62.56,77.42,1.018,48.51,6,16,34,8.0,31
ROLL_L90_R14_T8,15,870,2108,187.22,-62.56,78.01,1.018,48.51,6,16,34,8.0,31
ROLL_L90_R14_T8,10,870,2108,187.22,-62.56,79.1,1.018,48.51,6,16,34,8.0,31
ROLL_L90_R30_T20,25,1059,5388,106.88,-78.62,80.4,0.963,49.29,11,16,37,20.0,15
ROLL_L90_R30_T20,20,1059,5388,106.88,-78.62,80.77,0.963,49.29,11,16,37,20.0,15
ROLL_L90_R30_T20,15,1059,5388,106.88,-78.62,81.35,0.963,49.29,11,16,37,20.0,15
ROLL_L90_R30_T20,10,1059,5388,106.88,-78.62,82.41,0.963,49.29,11,16,37,20.0,15
ROLL_L90_R30_T5,25,824,943,49.36,-90.13,94.01,0.838,45.75,9,7,26,5.0,15
ROLL_L90_R30_T5,20,824,943,49.36,-90.13,94.12,0.838,45.75,9,7,26,5.0,15
ROLL_L90_R30_T5,15,824,943,49.36,-90.13,94.31,0.838,45.75,9,7,26,5.0,15
ROLL_L90_R30_T5,10,824,943,49.36,-90.13,94.68,0.838,45.75,9,7,26,5.0,15
ROLL_L90_R30_T12,25,1013,3050,45.83,-90.83,92.54,0.894,46.59,8,11,36,12.0,15
ROLL_L90_R30_T12,20,1013,3050,45.83,-90.83,92.69,0.894,46.59,8,11,36,12.0,15
ROLL_L90_R30_T12,15,1013,3050,45.83,-90.83,92.92,0.894,46.59,8,11,36,12.0,15
ROLL_L90_R30_T12,10,1013,3050,45.83,-90.83,93.35,0.894,46.59,8,11,36,12.0,15
ROLL_L90_R30_T8,25,849,1936,45.71,-90.86,92.25,0.844,44.99,6,7,31,8.0,15
ROLL_L90_R30_T8,20,849,1936,45.71,-90.86,92.41,0.844,44.99,6,7,31,8.0,15
ROLL_L90_R30_T8,15,849,1936,45.71,-90.86,92.67,0.844,44.99,6,7,31,8.0,15
ROLL_L90_R30_T8,10,849,1936,45.71,-90.86,93.13,0.844,44.99,6,7,31,8.0,15
