fold,validation_start,validation_end,candidate,learning,plans,generated_trades,reason_counts
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_NO_60M_FILTER_RAW,raw,428,428,"{""below_15m_ema200"": 21780, ""center_ban"": 148773, ""cooldown"": 137, ""insufficient_future_bars"": 3072, ""minimum_rr"": 73, ""no_lower_boundary_touch"": 54953, ""plan_created"": 428, ""range_too_narrow"": 13370, ""volume_filter"": 1702}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_FIXED_VOLUME_18_RAW,raw,211,211,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 21780, ""center_ban"": 148773, ""cooldown"": 68, ""insufficient_future_bars"": 3072, ""minimum_rr"": 34, ""no_lower_boundary_touch"": 54953, ""plan_created"": 211, ""range_too_narrow"": 13370, ""volume_filter"": 977}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_FIXED_RR17_RAW,raw,254,254,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 21780, ""center_ban"": 148773, ""cooldown"": 70, ""insufficient_future_bars"": 3072, ""no_lower_boundary_touch"": 54953, ""plan_created"": 254, ""range_too_narrow"": 13370, ""volume_filter"": 966}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_RANGE_ONLY_RAW,raw,4104,4104,"{""center_ban"": 151945, ""cooldown"": 2539, ""insufficient_future_bars"": 3072, ""minimum_rr"": 372, ""no_lower_boundary_touch"": 55707, ""plan_created"": 4104, ""range_too_narrow"": 13905, ""volume_filter"": 17444}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_RECOVERED_BASE_RAW,raw,211,211,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20324, ""center_ban"": 139565, ""cooldown"": 70, ""insufficient_future_bars"": 3072, ""minimum_rr"": 15, ""no_lower_boundary_touch"": 57167, ""plan_created"": 211, ""range_too_narrow"": 21979, ""volume_filter"": 1015}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_RECOVERED_BASE_SOFT,soft,211,211,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20324, ""center_ban"": 139565, ""cooldown"": 70, ""insufficient_future_bars"": 3072, ""minimum_rr"": 15, ""no_lower_boundary_touch"": 57167, ""plan_created"": 211, ""range_too_narrow"": 21979, ""volume_filter"": 1015}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_NO_60M_FILTER_RAW,raw,352,352,"{""below_15m_ema200"": 20324, ""center_ban"": 139565, ""cooldown"": 105, ""insufficient_future_bars"": 3072, ""minimum_rr"": 47, ""no_lower_boundary_touch"": 57167, ""plan_created"": 352, ""range_too_narrow"": 21979, ""volume_filter"": 1709}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_FIXED_VOLUME_18_RAW,raw,211,211,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20324, ""center_ban"": 139565, ""cooldown"": 63, ""insufficient_future_bars"": 3072, ""minimum_rr"": 13, ""no_lower_boundary_touch"": 57167, ""plan_created"": 211, ""range_too_narrow"": 21979, ""volume_filter"": 1024}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_FIXED_RR17_RAW,raw,225,225,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20324, ""center_ban"": 139565, ""cooldown"": 71, ""insufficient_future_bars"": 3072, ""no_lower_boundary_touch"": 57167, ""plan_created"": 225, ""range_too_narrow"": 21979, ""volume_filter"": 1015}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_RANGE_ONLY_RAW,raw,3725,3725,"{""center_ban"": 143088, ""cooldown"": 2295, ""insufficient_future_bars"": 3072, ""minimum_rr"": 391, ""no_lower_boundary_touch"": 57968, ""plan_created"": 3725, ""range_too_narrow"": 22030, ""volume_filter"": 16551}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_RECOVERED_BASE_RAW,raw,238,238,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20236, ""center_ban"": 141197, ""cooldown"": 63, ""insufficient_future_bars"": 3072, ""invalid_range"": 2198, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 57075, ""plan_created"": 238, ""range_too_narrow"": 18312, ""volume_filter"": 1340}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_RECOVERED_BASE_SOFT,soft,238,238,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20236, ""center_ban"": 141197, ""cooldown"": 63, ""insufficient_future_bars"": 3072, ""invalid_range"": 2198, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 57075, ""plan_created"": 238, ""range_too_narrow"": 18312, ""volume_filter"": 1340}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_NO_60M_FILTER_RAW,raw,349,349,"{""below_15m_ema200"": 20236, ""center_ban"": 141197, ""cooldown"": 95, ""insufficient_future_bars"": 3072, ""invalid_range"": 2198, ""minimum_rr"": 46, ""no_lower_boundary_touch"": 57075, ""plan_created"": 349, ""range_too_narrow"": 18312, ""volume_filter"": 1708}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_FIXED_VOLUME_18_RAW,raw,249,249,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20236, ""center_ban"": 141197, ""cooldown"": 61, ""insufficient_future_bars"": 3072, ""invalid_range"": 2198, ""minimum_rr"": 39, ""no_lower_boundary_touch"": 57075, ""plan_created"": 249, ""range_too_narrow"": 18312, ""volume_filter"": 1329}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_FIXED_RR17_RAW,raw,269,269,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20236, ""center_ban"": 141197, ""cooldown"": 69, ""insufficient_future_bars"": 3072, ""invalid_range"": 2198, ""no_lower_boundary_touch"": 57075, ""plan_created"": 269, ""range_too_narrow"": 18312, ""volume_filter"": 1340}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_RANGE_ONLY_RAW,raw,4123,4123,"{""center_ban"": 142953, ""cooldown"": 2507, ""insufficient_future_bars"": 3072, ""invalid_range"": 2198, ""minimum_rr"": 445, ""no_lower_boundary_touch"": 58912, ""plan_created"": 4123, ""range_too_narrow"": 18848, ""volume_filter"": 16030}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_RECOVERED_BASE_RAW,raw,338,338,"{""60m_trend_filter"": 534, ""below_15m_ema200"": 17347, ""center_ban"": 130053, ""cooldown"": 91, ""insufficient_future_bars"": 3072, ""invalid_range"": 7152, ""minimum_rr"": 58, ""no_lower_boundary_touch"": 54239, ""plan_created"": 338, ""range_too_narrow"": 29705, ""volume_filter"": 1731}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_RECOVERED_BASE_SOFT,soft,338,338,"{""60m_trend_filter"": 534, ""below_15m_ema200"": 17347, ""center_ban"": 130053, ""cooldown"": 91, ""insufficient_future_bars"": 3072, ""invalid_range"": 7152, ""minimum_rr"": 58, ""no_lower_boundary_touch"": 54239, ""plan_created"": 338, ""range_too_narrow"": 29705, ""volume_filter"": 1731}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_NO_60M_FILTER_RAW,raw,410,410,"{""below_15m_ema200"": 17347, ""center_ban"": 130053, ""cooldown"": 107, ""insufficient_future_bars"": 3072, ""invalid_range"": 7152, ""minimum_rr"": 71, ""no_lower_boundary_touch"": 54239, ""plan_created"": 410, ""range_too_narrow"": 29705, ""volume_filter"": 2164}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_FIXED_VOLUME_18_RAW,raw,335,335,"{""60m_trend_filter"": 534, ""below_15m_ema200"": 17347, ""center_ban"": 130053, ""cooldown"": 91, ""insufficient_future_bars"": 3072, ""invalid_range"": 7152, ""minimum_rr"": 60, ""no_lower_boundary_touch"": 54239, ""plan_created"": 335, ""range_too_narrow"": 29705, ""volume_filter"": 1732}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_FIXED_RR17_RAW,raw,385,385,"{""60m_trend_filter"": 534, ""below_15m_ema200"": 17347, ""center_ban"": 130053, ""cooldown"": 102, ""insufficient_future_bars"": 3072, ""invalid_range"": 7152, ""no_lower_boundary_touch"": 54239, ""plan_created"": 385, ""range_too_narrow"": 29705, ""volume_filter"": 1731}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_RANGE_ONLY_RAW,raw,3561,3561,"{""center_ban"": 131927, ""cooldown"": 1828, ""insufficient_future_bars"": 3072, ""invalid_range"": 7152, ""minimum_rr"": 334, ""no_lower_boundary_touch"": 56181, ""plan_created"": 3561, ""range_too_narrow"": 29813, ""volume_filter"": 15252}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_RECOVERED_BASE_RAW,raw,185,185,"{""60m_trend_filter"": 702, ""below_15m_ema200"": 16262, ""center_ban"": 134152, ""cooldown"": 41, ""indicator_warmup"": 8345, ""insufficient_future_bars"": 2880, ""minimum_rr"": 33, ""no_lower_boundary_touch"": 52764, ""plan_created"": 185, ""range_too_narrow"": 27941, ""volume_filter"": 983}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_RECOVERED_BASE_SOFT,soft,185,185,"{""60m_trend_filter"": 702, ""below_15m_ema200"": 16262, ""center_ban"": 134152, ""cooldown"": 41, ""indicator_warmup"": 8345, ""insufficient_future_bars"": 2880, ""minimum_rr"": 33, ""no_lower_boundary_touch"": 52764, ""plan_created"": 185, ""range_too_narrow"": 27941, ""volume_filter"": 983}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_NO_60M_FILTER_RAW,raw,318,318,"{""below_15m_ema200"": 16262, ""center_ban"": 134152, ""cooldown"": 70, ""indicator_warmup"": 8345, ""insufficient_future_bars"": 2880, ""minimum_rr"": 40, ""no_lower_boundary_touch"": 52764, ""plan_created"": 318, ""range_too_narrow"": 27941, ""volume_filter"": 1516}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_FIXED_VOLUME_18_RAW,raw,192,192,"{""60m_trend_filter"": 702, ""below_15m_ema200"": 16262, ""center_ban"": 134152, ""cooldown"": 50, ""indicator_warmup"": 8345, ""insufficient_future_bars"": 2880, ""minimum_rr"": 35, ""no_lower_boundary_touch"": 52764, ""plan_created"": 192, ""range_too_narrow"": 27941, ""volume_filter"": 965}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_FIXED_RR17_RAW,raw,218,218,"{""60m_trend_filter"": 702, ""below_15m_ema200"": 16262, ""center_ban"": 134152, ""cooldown"": 41, ""indicator_warmup"": 8345, ""insufficient_future_bars"": 2880, ""no_lower_boundary_touch"": 52764, ""plan_created"": 218, ""range_too_narrow"": 27941, ""volume_filter"": 983}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_RANGE_ONLY_RAW,raw,3768,3768,"{""center_ban"": 135981, ""cooldown"": 1996, ""indicator_warmup"": 8495, ""insufficient_future_bars"": 2880, ""minimum_rr"": 340, ""no_lower_boundary_touch"": 54298, ""plan_created"": 3768, ""range_too_narrow"": 28729, ""volume_filter"": 12601}"
