fold,validation_start,validation_end,candidate,learning,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_FIXED_VOLUME_18_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,297,297,109,188,0,81,4,0,32,71,338.85,-32.23,35.41,0.3847,20.18,16,31,5,66.8032,0.005,109,79.86461528,207.61604119,-127.75142591,0.3846745888421471
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_FIXED_VOLUME_18_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,179,179,99,80,0,68,2,0,10,0,416.19,-16.76,26.99,0.7665,33.33,11,27,8,81.5061,0.005,99,141.33439425,184.39527174,-43.06087749,0.7664751537143465
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_FIXED_VOLUME_18_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,120,120,68,52,0,46,2,0,4,0,454.21,-9.16,20.0,0.8238,33.82,10,24,11,48.4817,0.005,68,100.74199388,122.28681771,-21.54482382,0.8238172827736452
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_FIXED_VOLUME_18_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,164,164,91,73,0,52,4,0,17,0,434.87,-13.03,20.5,0.8114,35.16,11,31,13,70.2874,0.005,91,128.97057969,158.95348793,-29.98290824,0.8113730712918258
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_FIXED_VOLUME_18_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,180,180,79,101,0,65,3,0,32,1,388.16,-22.37,25.57,0.4316,22.78,24,28,7,50.5038,0.005,79,65.73660656,152.32100187,-86.58439531,0.4315662696115294
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_FIXED_VOLUME_18_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,217,217,128,89,0,80,3,0,5,1,360.68,-27.86,34.54,0.5791,28.12,12,30,6,91.522,0.005,128,128.7385405,222.30049716,-93.56195666,0.5791194448343033
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_FIXED_VOLUME_18_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,98,98,73,25,0,18,0,0,7,0,439.11,-12.18,23.7,0.7119,30.14,10,24,10,42.4523,0.005,73,98.02746408,137.69131269,-39.6638486,0.7119364480681721
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_FIXED_RR17_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,132,132,84,48,0,36,1,0,11,0,415.07,-16.99,24.43,0.5759,32.14,8,28,10,47.9982,0.005,84,82.74023269,143.67158131,-60.93134862,0.5758983922788046
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_FIXED_RR17_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,309,309,138,171,0,113,2,0,56,0,383.96,-23.21,32.85,0.6679,35.51,11,32,13,84.7087,0.005,138,148.21824759,221.90371999,-73.6854724,0.6679394450802099
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_FIXED_RR17_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,180,180,102,78,0,33,5,0,39,1,388.92,-22.22,29.9,0.5651,31.37,9,28,11,65.5031,0.005,102,101.77610816,180.10548785,-78.32937968,0.5650916547803618
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_FIXED_RR17_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,328,328,129,199,0,140,2,0,44,13,347.31,-30.54,34.4,0.4836,28.68,13,32,7,76.0429,0.005,129,107.39522821,222.06038446,-114.66515624,0.48363074069615325
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_FIXED_RR17_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,216,216,108,108,0,97,3,0,7,1,417.26,-16.55,27.73,0.7882,39.81,10,29,12,88.1007,0.005,108,144.01949044,182.7131645,-38.69367406,0.7882272239959919
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_FIXED_RR17_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,138,138,76,62,0,49,1,0,12,0,424.75,-15.05,22.74,0.6395,34.21,9,26,11,54.1386,0.005,76,85.48659073,133.66923138,-48.18264065,0.6395382830293015
